date,spy_close,sso_close,sma200,spread,buy_threshold,sell_threshold,spy_20d_volatility,trend_signal,trend_state,signal,position,target_spy_pct,target_sso_pct,target_cash_pct,reason,spy_daily_return,sso_daily_return,strategy_return,strategy_value,spy_benchmark_value,strategy_drawdown,spy_drawdown,spread_cycle,cycle_high_floor,cycle_max_spread,cycle_max_date,in_cycle_high_range,vix_close
2025-10-22,662.312805,55.754059,598.320097,0.106954,604.303298,592.336896,0.13405,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.41%, at or below 15%; target 100% SSO.",-0.005199,-0.010146,-0.010146,13776.177262,7651.248181,-0.018803,-0.007889,32,0.114346,0.135231,2025-10-28,False,18.6
2025-10-23,666.240295,56.365318,598.724603,0.112766,604.711849,592.737357,0.1339,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.39%, at or below 15%; target 100% SSO.",0.00593,0.010963,0.010963,13927.212341,7696.619798,-0.008046,-0.002006,32,0.114346,0.135231,2025-10-28,False,17.299999
2025-10-24,671.685181,57.269791,599.189417,0.12099,605.181311,593.197523,0.135302,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.53%, at or below 15%; target 100% SSO.",0.008173,0.016047,0.016047,14150.696903,7759.520844,0.0,0.0,32,0.114346,0.135231,2025-10-28,True,16.370001
2025-10-27,679.609497,58.626492,599.689626,0.133269,605.686522,593.692729,0.140397,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.04%, at or below 15%; target 100% SSO.",0.011798,0.02369,0.02369,14485.921862,7851.065067,0.0,0.0,32,0.114346,0.135231,2025-10-28,True,15.79
2025-10-28,681.414551,58.929638,600.243102,0.135231,606.245533,594.240671,0.140229,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.02%, at or below 15%; target 100% SSO.",0.002656,0.005171,0.005171,14560.82579,7871.917622,0.0,0.0,32,0.114346,0.135231,2025-10-28,True,16.42
2025-10-29,681.741821,58.964428,600.79379,0.134735,606.801728,594.785852,0.140108,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.01%, at or below 15%; target 100% SSO.",0.00048,0.00059,0.00059,14569.422002,7875.698355,0.0,0.0,32,0.114346,0.135231,2025-10-28,True,16.92
2025-10-30,674.243958,57.697174,601.303056,0.121305,607.316086,595.290025,0.146907,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.69%, at or below 15%; target 100% SSO.",-0.010998,-0.021492,-0.021492,14256.298359,7789.080648,-0.021492,-0.010998,32,0.114346,0.135231,2025-10-28,True,16.91
2025-10-31,676.455627,58.025173,601.771321,0.124107,607.789034,595.753608,0.147122,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.71%, at or below 15%; target 100% SSO.",0.00328,0.005685,0.005685,14337.343113,7814.630562,-0.015929,-0.007754,32,0.114346,0.135231,2025-10-28,True,17.440001
2025-11-03,677.725159,58.258743,602.251538,0.125319,608.274054,596.229023,0.146847,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.68%, at or below 15%; target 100% SSO.",0.001877,0.004025,0.004025,14395.055558,7829.296591,-0.011968,-0.005892,32,0.114346,0.135231,2025-10-28,True,17.17
2025-11-04,669.691711,56.88216,602.662388,0.111222,608.689012,596.635764,0.152962,No Action,SSO,Rebalance to 50% SSO / 50% SPY,50% SSO / 50% SPY,0.5,0.5,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 15.30%, above 15% through 25%; target 50% SSO / 50% SPY.",-0.011854,-0.023629,-0.023629,14054.91794,7736.491653,-0.035314,-0.017675,32,0.114346,0.135231,2025-10-28,False,19.0
2025-11-05,672.012451,57.215122,603.057953,0.114341,609.088532,597.027373,0.152032,No Action,SSO,No Action,50% SSO / 50% SPY,0.5,0.5,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 15.20%, above 15% through 25%; target 50% SSO / 50% SPY.",0.003465,0.005854,0.004659,14120.406309,7763.301577,-0.030819,-0.014271,32,0.114346,0.135231,2025-10-28,False,18.01
2025-11-06,664.802185,55.977692,603.4008,0.101759,609.434808,597.366792,0.156737,No Action,SSO,No Action,50% SSO / 50% SPY,0.5,0.5,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 15.67%, above 15% through 25%; target 50% SSO / 50% SPY.",-0.010729,-0.021628,-0.016179,13891.958979,7680.006289,-0.046499,-0.024848,32,0.114346,0.135231,2025-10-28,False,19.5
2025-11-07,665.456726,56.072117,603.73065,0.102241,609.767956,597.693343,0.119928,No Action,SSO,Rebalance to SSO,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 11.99%, at or below 15%; target 100% SSO.",0.000985,0.001687,0.001336,13910.514478,7687.567755,-0.045225,-0.023887,32,0.114346,0.135231,2025-10-28,False,19.08
2025-11-10,675.840759,57.806503,604.12117,0.118717,610.162381,598.079958,0.120333,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 12.03%, at or below 15%; target 100% SSO.",0.015604,0.030931,0.030931,14340.785512,7807.52741,-0.015693,-0.008656,32,0.114346,0.135231,2025-10-28,True,17.6
2025-11-11,677.387878,58.069897,604.561701,0.120461,610.607318,598.516084,0.119964,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 12.00%, at or below 15%; target 100% SSO.",0.002289,0.004556,0.004556,14406.128823,7825.400222,-0.011208,-0.006386,32,0.114346,0.135231,2025-10-28,True,17.280001
2025-11-12,677.764771,58.129532,604.9788,0.120312,611.028588,598.929012,0.119524,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 11.95%, at or below 15%; target 100% SSO.",0.000556,0.001027,0.001027,14420.923267,7829.754199,-0.010192,-0.005834,32,0.114346,0.135231,2025-10-28,True,17.51
2025-11-13,666.517944,56.201321,605.352987,0.10104,611.406517,599.299457,0.13273,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.27%, at or below 15%; target 100% SSO.",-0.016594,-0.033171,-0.033171,13942.567687,7699.827286,-0.043025,-0.022331,32,0.114346,0.135231,2025-10-28,False,20.0
2025-11-14,666.408936,56.15163,605.710751,0.10021,611.767859,599.653644,0.13155,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.15%, at or below 15%; target 100% SSO.",-0.000164,-0.000884,-0.000884,13930.240403,7698.567982,-0.043871,-0.022491,32,0.114346,0.135231,2025-10-28,False,19.83
2025-11-17,660.200317,55.098072,606.053301,0.089344,612.113834,599.992768,0.130677,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.07%, at or below 15%; target 100% SSO.",-0.009317,-0.018763,-0.018763,13668.870947,7626.84405,-0.061811,-0.031598,32,0.114346,0.135231,2025-10-28,False,22.379999
2025-11-18,654.656311,54.173725,606.38804,0.0796,612.451921,600.32416,0.133711,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.37%, at or below 15%; target 100% SSO.",-0.008397,-0.016776,-0.016776,13439.556593,7562.797926,-0.07755,-0.03973,32,0.114346,0.135231,2025-10-28,False,24.690001
2025-11-19,657.185364,54.561348,606.715712,0.083185,612.782869,600.648555,0.133633,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.36%, at or below 15%; target 100% SSO.",0.003863,0.007155,0.007155,13535.719059,7592.014347,-0.07095,-0.03602,32,0.114346,0.135231,2025-10-28,False,23.66
2025-11-20,647.168335,52.886593,606.981304,0.066208,613.051117,600.911491,0.141338,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.13%, at or below 15%; target 100% SSO.",-0.015242,-0.030695,-0.030695,13120.241522,7476.294445,-0.099467,-0.050713,32,0.114346,0.135231,2025-10-28,False,26.42
2025-11-21,653.614929,53.93021,607.268806,0.076319,613.341494,601.196118,0.143079,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.31%, at or below 15%; target 100% SSO.",0.009961,0.019733,0.019733,13379.144764,7550.767552,-0.081697,-0.041257,32,0.114346,0.135231,2025-10-28,False,23.43
2025-11-24,663.235107,55.520485,607.631691,0.091508,613.708008,601.555374,0.146954,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.70%, at or below 15%; target 100% SSO.",0.014718,0.029488,0.029488,13773.664215,7661.90291,-0.054618,-0.027146,32,0.114346,0.135231,2025-10-28,False,20.52
2025-11-25,669.47345,56.554165,608.005712,0.101097,614.085769,601.925655,0.151182,No Action,SSO,Rebalance to 50% SSO / 50% SPY,50% SSO / 50% SPY,0.5,0.5,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 15.12%, above 15% through 25%; target 50% SSO / 50% SPY.",0.009406,0.018618,0.018618,14030.10219,7733.970224,-0.037017,-0.017996,32,0.114346,0.135231,2025-10-28,False,18.559999
2025-11-26,674.095215,57.29961,608.40058,0.107979,614.484586,602.316574,0.153626,No Action,SSO,No Action,50% SSO / 50% SPY,0.5,0.5,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 15.36%, above 15% through 25%; target 50% SSO / 50% SPY.",0.006904,0.013181,0.010042,14170.997158,7787.362325,-0.027347,-0.011216,32,0.114346,0.135231,2025-10-28,False,17.190001
2025-11-28,677.774719,57.905895,608.823432,0.113253,614.911666,602.735197,0.149796,No Action,SSO,Rebalance to SSO,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.98%, at or below 15%; target 100% SSO.",0.005458,0.010581,0.00802,14284.644289,7829.86913,-0.019546,-0.005819,32,0.114346,0.135231,2025-10-28,False,16.35
2025-12-01,674.680359,57.379116,609.199497,0.107487,615.291492,603.107502,0.150317,No Action,SSO,Rebalance to 50% SSO / 50% SPY,50% SSO / 50% SPY,0.5,0.5,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 15.03%, above 15% through 25%; target 50% SSO / 50% SPY.",-0.004565,-0.009097,-0.009097,14154.694599,7794.122095,-0.028466,-0.010358,32,0.114346,0.135231,2025-10-28,False,17.24
2025-12-02,675.930054,57.577904,609.581959,0.108842,615.677779,603.48614,0.150312,No Action,SSO,No Action,50% SSO / 50% SPY,0.5,0.5,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 15.03%, above 15% through 25%; target 50% SSO / 50% SPY.",0.001852,0.003464,0.002658,14192.322997,7808.558967,-0.025883,-0.008525,32,0.114346,0.135231,2025-10-28,False,16.59
2025-12-03,678.27063,57.955597,609.967325,0.111979,616.066998,603.867652,0.144119,No Action,SSO,Rebalance to SSO,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.41%, at or below 15%; target 100% SSO.",0.003463,0.00656,0.005011,14263.44384,7835.598048,-0.021001,-0.005092,32,0.114346,0.135231,2025-10-28,False,16.08
2025-12-04,678.766479,58.054989,610.348091,0.112097,616.451571,604.24461,0.143743,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 14.37%, at or below 15%; target 100% SSO.",0.000731,0.001715,0.001715,14287.905176,7841.32626,-0.019322,-0.004364,32,0.114346,0.135231,2025-10-28,False,15.78
2025-12-05,680.055786,58.223953,610.747838,0.11348,616.855316,604.640359,0.137466,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.75%, at or below 15%; target 100% SSO.",0.001899,0.00291,0.00291,14329.488977,7856.220741,-0.016468,-0.002473,32,0.114346,0.135231,2025-10-28,False,15.41
2025-12-08,678.012756,57.87608,611.188691,0.109335,617.300578,605.076804,0.138264,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 13.83%, at or below 15%; target 100% SSO.",-0.003004,-0.005975,-0.005975,14243.873833,7832.619011,-0.022345,-0.00547,32,0.114346,0.135231,2025-10-28,False,16.66
2025-12-09,677.42749,57.786629,611.640039,0.107559,617.756439,605.523638,0.12705,No Action,SSO,No Action,SSO,0.0,1.0,0.0,"Hold SSO: SPY remains above the upper SMA200 band. Volatility is 12.70%, at or below 15%; target 100% SSO.",-0.000863,-0.001546,-0.001546,14221.8591,7825.85783,-0.023856,-0.006328,32,0.114346,0.135231,2025-10-28,False,16.93
